a40_abduction_and_related_offences, b30_burglary_break_and_enter, a10_homicide_and_related_offences, f30_other_government_regulatory_offences, lga_code11, total_division_c_offences, a30_sexual_offences, a70_stalking_harassment_and_threatening_behaviour, e10_justice_procedures, total_division_f_offences, a50_robbery, b50_deception, b20_property_damage, c30_drug_use_and_possession, total_division_a_offences, d30_public_nuisance_offences, reference_period, b10_arson, total_division_d_offences, c20_cultivate_or_manufacture_drugs, f90_miscellaneous_offences, d20_disorderly_and_offensive_conduct, d40_public_security_offences, a80_dangerous_and_negligent_acts_endangering_people, total_division_b_offences, d10_weapons_and_explosives_offences, lga_name11, total_division_e_offences, e20_breaches_of_orders, f10_regulatory_driving_offences, a60_blackmail_and_extortion, b40_theft, c90_other_drug_offences, f20_transport_regulation_offences, a20_assault_and_related_offences, b60_bribery, c10_drug_dealing_and_trafficking
1,27,null,1,"20110",53,95,11,11,1,null,8,51,40,198,1,"2019",8,69,4,null,39,null,10,184,29,"Alpine (S)",68,57,null,null,90,null,null,81,null,9
null,69,null,1,"20260",137,58,38,84,2,4,47,122,111,293,19,"2019",13,117,2,1,47,null,12,473,51,"Ararat (RC)",411,327,null,5,222,null,null,176,null,24
21,983,4,1,"20570",414,345,236,376,23,55,454,1083,327,1815,65,"2019",121,611,14,18,207,null,140,6142,339,"Ballarat (C)",1884,1508,null,7,3501,5,4,1007,null,68
9,832,4,1,"20660",513,185,266,192,13,58,539,650,437,1197,63,"2019",20,498,28,9,126,null,60,4972,309,"Banyule (C)",2038,1846,null,4,2931,1,3,611,null,47
null,205,2,2,"20740",154,74,119,48,5,11,63,217,114,527,11,"2019",20,173,10,1,76,null,42,1145,86,"Bass Coast (S)",378,330,null,2,640,1,2,277,null,29
6,315,2,3,"20830",349,172,133,117,9,10,243,334,272,786,27,"2019",44,269,12,4,87,null,57,2201,155,"Baw Baw (S)",897,780,null,1,1265,2,2,405,null,63
3,593,2,4,"20910",265,131,80,42,13,14,328,367,204,586,23,"2019",18,238,10,1,95,4,24,2940,116,"Bayside (C)",506,464,1,4,1634,null,7,328,null,51
3,68,2,2,"21010",93,54,34,16,7,2,59,147,75,259,23,"2019",17,93,5,5,22,null,23,546,48,"Benalla (RC)",206,190,null,null,255,2,null,141,null,11
4,881,2,2,"21110",319,300,93,82,15,40,673,514,269,843,37,"2019",27,212,16,5,94,null,31,5251,81,"Boroondara (C)",586,504,null,12,3155,2,8,361,1,32
32,1523,4,4,"21180",1159,398,520,334,27,253,1127,1270,912,2997,141,"2019",64,1121,63,9,348,null,209,10754,632,"Brimbank (C)",3129,2795,null,9,6770,null,14,1572,null,184
null,28,null,null,"21270",51,22,4,6,2,null,2,21,44,49,3,"2019",5,16,4,2,9,null,1,121,4,"Buloke (S)",27,21,null,null,65,null,null,22,null,3
10,414,2,3,"21370",182,100,71,174,8,5,261,314,136,570,22,"2019",47,198,20,5,75,null,63,2251,101,"Campaspe (S)",814,640,null,3,1215,1,null,316,null,25
6,510,2,null,"21450",362,191,150,186,20,53,340,503,293,1043,42,"2019",68,352,26,12,128,null,80,3284,182,"Cardinia (S)",1111,925,null,2,1863,8,8,559,null,35
46,1691,8,1,"21610",1468,593,611,558,16,210,1341,1639,1121,3932,114,"2019",129,1141,65,8,281,1,256,12115,745,"Casey (C)",2915,2357,null,13,7315,1,7,2195,null,281
2,72,2,2,"21670",103,86,38,55,6,2,28,130,78,308,12,"2019",30,90,11,4,38,null,13,444,40,"Central Goldfields (S)",306,251,null,2,184,null,null,163,null,14
1,137,2,null,"21750",83,103,66,34,3,3,35,163,55,416,18,"2019",18,133,8,3,56,null,22,755,59,"Colac-Otway (S)",262,228,null,null,402,null,null,219,null,20
null,48,null,null,"21830",32,20,28,9,1,1,36,55,23,129,5,"2019",10,46,2,1,17,null,15,293,24,"Corangamite (S)",170,161,null,1,144,null,null,64,null,7
9,1169,2,8,"21890",740,236,285,247,20,96,1443,1032,595,1667,96,"2019",57,736,29,5,227,2,132,10249,411,"Darebin (C)",1446,1199,1,12,6548,null,6,895,null,116
9,197,8,4,"22110",275,212,181,139,18,8,248,431,199,1136,52,"2019",66,431,33,14,177,null,68,1728,202,"East Gippsland (S)",993,854,null,null,786,3,null,650,null,40
30,852,2,5,"22170",1065,365,283,528,23,52,728,1156,860,2286,96,"2019",90,1132,47,6,435,null,257,7408,601,"Frankston (C)",2850,2322,null,6,4582,null,12,1291,null,158
null,84,null,2,"22250",41,17,21,11,2,null,21,87,36,148,11,"2019",12,66,null,null,18,null,12,387,37,"Gannawarra (S)",143,132,null,null,183,null,null,98,null,5
2,83,2,null,"22410",131,60,20,31,3,2,60,134,97,223,17,"2019",8,119,11,1,40,null,19,563,62,"Glenelg (S)",206,175,null,null,278,null,2,118,null,23
null,115,2,null,"22490",33,26,12,4,1,null,10,56,26,123,6,"2019",23,18,3,1,2,null,10,412,10,"Golden Plains (S)",81,77,null,null,208,null,null,73,null,4
10,688,2,9,"22620",562,407,251,464,22,28,652,888,438,1803,79,"2019",105,845,24,6,369,1,138,5387,396,"Greater Bendigo (C)",2406,1942,null,1,3054,3,7,966,null,97
33,1731,7,34,"22750",1134,510,526,366,104,101,1478,2201,903,3229,102,"2019",129,1428,42,43,710,1,264,12206,615,"Greater Geelong (C)",2722,2356,1,11,6667,22,26,1777,null,167
13,854,6,9,"22830",675,270,206,241,17,22,485,731,576,1357,58,"2019",65,689,29,7,250,null,117,4257,381,"Greater Shepparton (C)",1956,1715,1,null,2122,2,null,723,null,68
3,90,2,1,"22910",25,54,17,13,2,1,8,91,18,156,2,"2019",19,23,5,1,11,null,10,457,10,"Hepburn (S)",93,80,null,null,249,null,null,69,null,2
21,1324,2,9,"22670",1387,321,359,525,57,210,1265,1333,1191,2815,109,"2019",99,1421,39,7,657,1,213,9855,654,"Greater Dandenong (C)",2460,1935,1,16,5834,null,40,1673,null,157
5,651,null,3,"22310",379,156,127,52,22,50,463,565,320,851,97,"2019",19,431,7,3,199,2,29,4053,133,"Glen Eira (C)",603,551,null,2,2355,null,16,482,null,52
null,30,null,null,"22980",42,35,9,5,1,null,3,34,34,86,15,"2019",2,52,3,1,7,null,3,122,30,"Hindmarsh (S)",41,36,null,null,53,null,null,39,null,5
