fid, median_age_of_earners_years_2014_15, median_aud_2011_12, sum_aud_2016_17, sum_aud_2011_12, median_aud_2014_15, median_age_of_earners_years_2013_14, median_age_of_earners_years_2012_13, median_age_of_earners_years_2017_18, median_aud_2013_14, sum_aud_2014_15, earners_persons_2011_12, median_aud_2015_16, mean_aud_2013_14, median_age_of_earners_years_2016_17, median_age_of_earners_years_2015_16, median_aud_2016_17, mean_aud_2012_13, mean_aud_2011_12, earners_persons_2015_16, median_aud_2017_18, earners_persons_2013_14, mean_aud_2016_17, sum_aud_2012_13, mean_aud_2015_16, sa2_code, median_age_of_earners_years_2011_12, earners_persons_2012_13, sa2_name, mean_aud_2014_15, median_aud_2012_13, sum_aud_2015_16, mean_aud_2017_18, earners_persons_2014_15, earners_persons_2017_18, earners_persons_2016_17, sum_aud_2013_14, sum_aud_2017_18
655,null,null,92393.0,null,null,null,null,63.0,null,null,null,null,null,62.0,null,32270.0,null,null,null,31114.0,null,23098.0,null,null,"205021080",null,null,"Alps - East",null,null,null,22659.0,null,3.0,4.0,null,67978.0
587,47.0,39358.0,1.9052122E8,1.38757575E8,44406.0,47.0,47.0,47.0,41286.0,1.70304545E8,3028.0,45847.0,49888.0,47.0,47.0,46378.0,48620.0,45825.0,3185.0,47895.0,3145.0,56551.0,1.50479849E8,54516.0,"201021012",47.0,3095.0,"Gordon (Vicnp)",52710.0,41002.0,1.73633854E8,57960.0,3231.0,3533.0,3369.0,1.56897279E8,2.04771158E8
588,50.0,27224.0,6.9100808E7,5.5374077E7,32779.0,50.0,49.0,50.0,30334.0,6.607254E7,1666.0,33532.0,36570.0,51.0,50.0,35323.0,34430.0,33238.0,1618.0,38543.0,1641.0,41427.0,5.6120678E7,39128.0,"201031013",49.0,1630.0,"Avoca",39755.0,27952.0,6.3308746E7,43798.0,1662.0,1696.0,1668.0,6.0011749E7,7.4282185E7
589,50.0,32754.0,9.687755E7,7.4997002E7,36933.0,49.0,49.0,49.0,34009.0,8.4398395E7,1982.0,37259.0,39510.0,49.0,50.0,37380.0,37320.0,37839.0,2044.0,38984.0,2007.0,45355.0,7.4230465E7,48944.0,"201031014",49.0,1989.0,"Beaufort",41927.0,33339.0,1.00042104E8,48542.0,2013.0,2165.0,2136.0,7.9296794E7,1.0509384E8
654,46.0,38542.0,6.10576684E8,4.63697666E8,42350.0,45.0,45.0,46.0,40903.0,5.41772711E8,9544.0,42680.0,50933.0,46.0,46.0,43418.0,49059.0,48585.0,10795.0,45069.0,10011.0,54477.0,4.77396122E8,53105.0,"205011079",45.0,9731.0,"Warragul",52661.0,39385.0,5.73273287E8,56425.0,10288.0,11694.0,11208.0,5.09890212E8,6.59836541E8
656,46.0,36002.0,3.70120469E8,3.0934096E8,40002.0,46.0,46.0,46.0,38745.0,3.53880262E8,7182.0,40650.0,45576.0,46.0,46.0,41005.0,44563.0,43072.0,7643.0,42091.0,7277.0,47567.0,3.19963358E8,47799.0,"205021081",46.0,7180.0,"Bairnsdale",47291.0,37306.0,3.65323978E8,48731.0,7483.0,7942.0,7781.0,3.31658894E8,3.87020822E8
657,50.0,33562.0,2.00916807E8,1.65334306E8,36360.0,50.0,50.0,49.0,35009.0,1.89407138E8,4299.0,36835.0,41359.0,50.0,50.0,38218.0,40142.0,38459.0,4335.0,38409.0,4349.0,45059.0,1.71127259E8,43560.0,"205021082",49.0,4263.0,"Bruthen - Omeo",43572.0,34638.0,1.88832896E8,44548.0,4347.0,4577.0,4459.0,1.79868374E8,2.03894039E8
658,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"205021083",null,null,"Lake King",null,null,null,null,null,null,null,null,null
659,51.0,30643.0,2.24850387E8,1.93876688E8,34070.0,51.0,50.0,52.0,32437.0,2.13089994E8,4900.0,34799.0,42802.0,51.0,51.0,34575.0,40582.0,39567.0,5009.0,35390.0,4914.0,44002.0,1.95970425E8,43737.0,"205021084",50.0,4829.0,"Lakes Entrance",43031.0,32001.0,2.19079758E8,44329.0,4952.0,5288.0,5110.0,2.10328893E8,2.34409358E8
711,33.0,53536.0,1.175121809E9,8.042981E8,58052.0,33.0,34.0,33.0,55691.0,1.030304139E9,11526.0,54594.0,72739.0,33.0,32.0,58667.0,72231.0,69781.0,15042.0,63435.0,12785.0,78362.0,8.66920601E8,73899.0,"206061136",34.0,12002.0,"Prahran - Windsor",76455.0,55908.0,1.111594748E9,83932.0,13476.0,15009.0,14996.0,9.29964235E8,1.259734638E9
