fid, median_age_of_earners_years_2014_15, median_aud_2011_12, sa3_name, sum_aud_2016_17, sum_aud_2011_12, median_aud_2014_15, median_age_of_earners_years_2013_14, median_age_of_earners_years_2012_13, median_aud_2013_14, median_age_of_earners_years_2017_18, sum_aud_2014_15, median_aud_2015_16, earners_persons_2011_12, mean_aud_2013_14, sa3_code, median_age_of_earners_years_2016_17, median_aud_2016_17, median_age_of_earners_years_2015_16, mean_aud_2012_13, mean_aud_2011_12, median_aud_2017_18, earners_persons_2015_16, earners_persons_2013_14, mean_aud_2016_17, sum_aud_2012_13, mean_aud_2015_16, median_age_of_earners_years_2011_12, earners_persons_2012_13, median_aud_2012_13, mean_aud_2014_15, sum_aud_2015_16, mean_aud_2017_18, earners_persons_2014_15, earners_persons_2017_18, earners_persons_2016_17, sum_aud_2013_14, sum_aud_2017_18
92,43.0,40321.0,"Ballarat",3.171222275E9,2.48E9,44009.0,42.0,42.0,42918.0,43.0,2.86E9,45198.0,51510.0,51416.0,"20101",43.0,46175.0,43.0,50214.0,48240.0,48057.0,55276.0,52967.0,55677.0,2.61E9,54534.0,42.0,51926.0,41870.0,52738.0,3.01E9,57916.0,54225.0,58962.0,56958.0,2.72E9,3.41483591E9
93,48.0,37000.0,"Creswick - Daylesford - Ballan",8.5147198E8,6.55E8,40238.0,48.0,48.0,38801.0,48.0,7.57E8,40932.0,14534.0,47554.0,"20102",48.0,42275.0,48.0,46443.0,45067.0,43700.0,15397.0,14968.0,52726.0,6.84E8,50511.0,47.0,14722.0,37938.0,49112.0,7.78E8,55726.0,15411.0,16460.0,16149.0,7.12E8,9.17253785E8
94,48.0,32586.0,"Maryborough - Pyrenees",5.21640008E8,4.3E8,36495.0,48.0,48.0,35023.0,48.0,4.79E8,36413.0,11457.0,39638.0,"20103",48.0,37577.0,48.0,38469.0,37549.0,39580.0,11625.0,11524.0,43663.0,4.42E8,42704.0,48.0,11493.0,33969.0,41182.0,4.96E8,45794.0,11632.0,12255.0,11947.0,4.57E8,5.61210078E8
95,43.0,39791.0,"Bendigo",2.771825033E9,2.23E9,43456.0,43.0,42.0,42144.0,43.0,2.56E9,44468.0,47891.0,49370.0,"20201",43.0,45194.0,43.0,48397.0,46479.0,47152.0,51029.0,48571.0,52943.0,2.32E9,52033.0,42.0,48006.0,41218.0,51151.0,2.66E9,54991.0,49985.0,53829.0,52355.0,2.4E9,2.96008639E9
96,48.0,37647.0,"Heathcote - Castlemaine - Kyneton",1.434921316E9,1.09E9,40483.0,48.0,48.0,39795.0,48.0,1.28E9,42100.0,23540.0,49260.0,"20202",48.0,43496.0,48.0,47856.0,46267.0,45629.0,25305.0,24580.0,54421.0,1.14E9,52141.0,48.0,23831.0,38681.0,50560.0,1.32E9,56725.0,25269.0,27095.0,26367.0,1.21E9,1.536961298E9
97,50.0,32246.0,"Loddon - Elmore",2.75766326E8,2.18E8,37159.0,50.0,49.0,36274.0,50.0,2.58E8,35417.0,5732.0,42417.0,"20203",50.0,38732.0,50.0,41489.0,38104.0,42482.0,5644.0,5793.0,46053.0,2.4E8,41386.0,49.0,5792.0,35450.0,43972.0,2.34E8,50464.0,5861.0,6107.0,5988.0,2.46E8,3.08185101E8
98,45.0,40350.0,"Barwon - West",6.53631597E8,4.81E8,43882.0,45.0,44.0,42249.0,45.0,5.76E8,45012.0,9844.0,50932.0,"20301",45.0,46641.0,45.0,49864.0,48912.0,48672.0,11129.0,10386.0,56168.0,5.05E8,54356.0,44.0,10130.0,41130.0,52844.0,6.05E8,59085.0,10892.0,12077.0,11637.0,5.29E8,7.13569762E8
99,43.0,41398.0,"Geelong",6.103394823E9,4.83E9,44686.0,43.0,42.0,43611.0,42.0,5.5E9,45556.0,95621.0,53514.0,"20302",42.0,46958.0,42.0,52241.0,50482.0,48631.0,102179.0,97209.0,57444.0,5.01E9,55868.0,42.0,95836.0,42828.0,55038.0,5.71E9,59239.0,99843.0,110343.0,106250.0,5.2E9,6.536569964E9
100,47.0,38742.0,"Surf Coast - Bellarine Peninsula",2.710142852E9,1.87E9,42498.0,47.0,47.0,41304.0,47.0,2.33E9,43979.0,36643.0,54981.0,"20303",47.0,45434.0,47.0,52592.0,51141.0,47301.0,42328.0,39174.0,60064.0,1.97E9,57795.0,47.0,37514.0,40006.0,56671.0,2.45E9,61800.0,41068.0,46999.0,45121.0,2.15E9,2.904532571E9
101,48.0,36154.0,"Upper Goulburn Valley",1.475502334E9,1.16E9,38993.0,48.0,47.0,37453.0,48.0,1.32E9,39513.0,27032.0,44760.0,"20401",48.0,41175.0,48.0,43580.0,42818.0,42866.0,28805.0,27753.0,49402.0,1.18E9,47319.0,47.0,27173.0,36978.0,46496.0,1.36E9,50708.0,28378.0,30786.0,29867.0,1.24E9,1.561109085E9
