school_type, lga_id, address_postcode, school_name, postal_address_line_1, school_status, postal_address_line_2, postal_town, address_state, postal_postcode, lga_name, address_line_1, ogc_fid, address_line_2, school_no, postal_state, address_town, education_sector, full_phone_no, entity_type, y, x
"Primary","681","3971","Alberton Primary School","21 Thomson Street","O",null,"ALBERTON","VIC","3971","Wellington (S)","21 Thomson Street",1,null,"1","VIC","Alberton","Government","03 5183 2412","1",-38.617713,146.666601
"Primary","673","3277","Allansford and District Primary School","Frank Street","O",null,"ALLANSFORD","VIC","3277","Warrnambool (C)","Frank Street",2,null,"3","VIC","Allansford","Government","03 5565 1382","1",-38.386281,142.590393
"Primary","599","3467","Avoca Primary School","P O Box 12","O",null,"AVOCA","VIC","3467","Pyrenees (S)","118 Barnett Street",3,null,"4","VIC","Avoca","Government","03 5465 3176","1",-37.084502,143.475649
"Primary","643","3664","Avenel Primary School","40 Anderson Street","O",null,"AVENEL","VIC","3664","Strathbogie (S)","40 Anderson Street",4,null,"8","VIC","Avenel","Government","03 5796 2264","1",-36.901368,145.234722
"Primary","421","3113","Warrandyte Primary School","5-11 Forbes Street","O",null,"WARRANDYTE","VIC","3113","Manningham (C)","5-11 Forbes Street",5,null,"12","VIC","Warrandyte","Government","03 9844 3537","1",-37.742675,145.21398
"Primary","275","3216","Belmont Primary School","P O Box 471","O",null,"BELMONT","VIC","3216","Greater Geelong (C)","51 Mt Pleasant Road",6,null,"26","VIC","Belmont","Government","03 5243 2972","1",-38.170672,144.342099
"Primary","515","3340","Bacchus Marsh Primary School","P O Box 334","O",null,"Bacchus Marsh","VIC","3340","Moorabool (S)","56-62 Lerderderg Street",7,null,"28","VIC","Bacchus Marsh","Government","03 5367 2745","1",-37.67302961,144.4431207
"Primary","57","3350","Ballarat Primary School (Dana Street)","401 Dana Street","O",null,"BALLARAT","VIC","3350","Ballarat (C)","401 Dana Street",8,null,"33","VIC","Ballarat","Government","03 5332 1301","1",-37.56401278,143.853936
"Primary","717","3690","Wodonga Primary School","PO Box 329","O",null,"WODONGA","VIC","3689","Wodonga (C)","Brockley Street",9,null,"37","VIC","Wodonga","Government","02 6048 0300","1",-36.129214,146.88982
"Primary","161","3806","Berwick Primary School","37 Fairholme Boulevard","O",null,"Berwick","VIC","3806","Casey (C)","37 Fairholme Boulevard",10,null,"40","VIC","Berwick","Government","03 9707 1026","1",-38.044178,145.353743
"Primary","599","3373","Beaufort Primary School","P O Box 18","O",null,"BEAUFORT","VIC","3373","Pyrenees (S)","2/37 Park Road",11,null,"60","VIC","Beaufort","Government","03 5349 2490","1",-37.43852098,143.3817175
"Primary","91","3192","Cheltenham Primary School","231 Charman Road","O",null,"CHELTENHAM","VIC","3192","Bayside (C)","231 Charman Road",12,null,"84","VIC","Cheltenham","Government","03 8585 3200","1",-37.968608,145.054635
"Primary","549","3265","Cudgee Primary School","3 Hallowells Road","O",null,"CUDGEE","VIC","3265","Moyne (S)","3 Hallowells Road",13,null,"105","VIC","Cudgee","Government","03 5567 6346","1",-38.347938,142.650844
"Primary","311","3015","Newport Lakes Primary School","Elizabeth Street","O",null,"NEWPORT","VIC","3015","Hobsons Bay (C)","Elizabeth Street",14,null,"113","VIC","Newport","Government","03 9391 8942","1",-37.838424,144.878345
"Primary","626","3314","Cavendish Primary School","P O Box 28","O",null,"CAVENDISH","VIC","3314","Southern Grampians (S)","8-10 Barker Street",15,null,"116","VIC","Cavendish","Government","03 5574 2282","1",-37.53087,142.039893
"Primary","175","3250","Colac Primary School","P O Box 325","O",null,"COLAC","VIC","3250","Colac-Otway (S)","53-65 Murray Street East",16,null,"117","VIC","Colac","Government","03 5231 2560","1",-38.337224,143.598336
"Primary","543","3450","Castlemaine Primary School","P O Box 448","O",null,"CASTLEMAINE","VIC","3450","Mount Alexander (S)","Cnr Mostyn & Urquhart Street",17,null,"119","VIC","Castlemaine","Government","03 5472 1452","1",-37.066595,144.222329
"Primary","543","3451","Campbells Creek Primary School","Main Road","O",null,"CAMPBELLS CREEK","VIC","3451","Mount Alexander (S)","Main Road",18,null,"120","VIC","Campbells Creek","Government","03 5472 2180","1",-37.092935,144.204662
"Primary","291","3363","Creswick Primary School","P O Box 67","O",null,"CRESWICK","VIC","3363","Hepburn (S)","67 Napier Street",19,null,"122","VIC","Creswick","Government","03 5345 2044","1",-37.42411355,143.8915581
"Primary","262","3556","California Gully Primary School","P O Box 88","O",null,"CALIFORNIA GULLY","VIC","3556","Greater Bendigo (C)","4-14 Staley Street",20,null,"123","VIC","California Gully","Government","03 5446 8393","1",-36.733207,144.249857
"Primary","571","3761","St Andrews Primary School","Caledonia Street","O",null,"ST ANDREWS","VIC","3761","Nillumbik (S)","Caledonia Street",21,null,"128","VIC","St Andrews","Government","03 9710 1255","1",-37.602316,145.269827
"Primary","673","3280","Warrnambool West Primary School","35 Hoddle Street","O",null,"WARRNAMBOOL","VIC","3280","Warrnambool (C)","35 Hoddle Street",22,null,"182","VIC","Warrnambool","Government","03 5561 3161","1",-38.366338,142.466796
"Primary","534","3936","Dromana Primary School","P O Box 166","O",null,"DROMANA","VIC","3936","Mornington Peninsula (S)","Mcculloch Street",23,null,"184","VIC","Dromana","Government","03 5987 2367","1",-38.339644,144.959653
"Primary","421","3108","Doncaster Primary School","PO Box 404","O",null,"Westfield, Doncaster","VIC","3108","Manningham (C)","2 - 12 Council Street",24,null,"197","VIC","Doncaster","Government","03 9848 1122","1",-37.786804,145.129673
"Primary","137","3564","Echuca Primary School","413-431 High Street","O",null,"ECHUCA","VIC","3564","Campaspe (S)","413-431 High Street",25,null,"208","VIC","Echuca","Government","03 5483 0700","1",-36.128198,144.747463
"Primary","571","3095","Eltham Primary School","DALTON STREET","O",null,"ELTHAM","VIC","3095","Nillumbik (S)","Dalton Street",26,null,"209","VIC","Eltham","Government","03 9439 9374","1",-37.72498353,145.1478042
"Primary","262","3556","Eaglehawk Primary School","P O Box 77","O",null,"EAGLEHAWK","VIC","3556","Greater Bendigo (C)","Church St",27,null,"210","VIC","Eaglehawk","Government","03 5446 3722","1",-36.720628,144.254602
"Primary","543","3448","Elphinstone Primary School","26 Wright Street","O",null,"ELPHINSTONE","VIC","3448","Mount Alexander (S)","26 Wright Street",28,null,"220","VIC","Elphinstone","Government","03 5473 3285","1",-37.10500363,144.3329025
"Primary","161","3803","Hallam Primary School","24 Harmer Road","O",null,"HALLAM","VIC","3803","Casey (C)","24 Harmer Road",29,null,"244","VIC","Hallam","Government","03 9703 1536","1",-38.001575,145.258493
"Primary","506","3031","Flemington Primary School","P O Box 7","O",null,"FLEMINGTON","VIC","3031","Moonee Valley (C)","Mt Alexander Road",30,null,"250","VIC","Flemington","Government","03 9376 7137","1",-37.781393,144.933597
"Primary","433","3011","Footscray Primary School","P O Box 6019","O",null,"WEST FOOTSCRAY","VIC","3012","Maribyrnong (C)","Cnr Geelong Road & Barkly St",31,null,"253","VIC","Footscray","Government","03 9687 1910","1",-37.798383,144.892669
"Primary","413","3437","Gisborne Primary School","35 FISHER STREET","O",null,"GISBORNE","VIC","3437","Macedon Ranges (S)","35 Fisher Street",32,null,"262","VIC","Gisborne","Government","03 5428 2022","1",-37.4908591,144.5884416
"Primary","91","3191","Sandringham Primary School","31 Bamfield Street","O",null,"SANDRINGHAM","VIC","3191","Bayside (C)","31 Bamfield Street",33,null,"267","VIC","Sandringham","Government","03 9598 1488","1",-37.947631,145.009306
"Primary","11","3744","Wandiligong Primary School","P O Box 591,","O",null,"BRIGHT","VIC","3741","Alpine (S)","119 School Road",34,null,"275","VIC","Wandiligong","Government",null,"1",-36.768862,146.982923
"Primary","275","3216","Grovedale Primary School","143 Bailey Street","O",null,"GROVEDALE","VIC","3216","Greater Geelong (C)","143 Bailey Street",35,null,"283","VIC","Grovedale","Government","03 5243 3902","1",-38.197238,144.347794
"Primary","111","3122","Hawthorn West Primary School","Cnr Wood Street & Burwood Road","O",null,"HAWTHORN","VIC","3122","Boroondara (C)","Cnr Wood Street & Burwood Road",36,null,"293","VIC","Hawthorn","Government","03 9818 2233","1",-37.820112,145.018377
"Primary","66","3084","Heidelberg Primary School","P O Box 330","O",null,"HEIDELBERG","VIC","3084","Banyule (C)","Cape Street",37,null,"294","VIC","Heidelberg","Government","03 9457 2259","1",-37.754705,145.067799
"Primary","626","3300","Hamilton (Gray Street) Primary School","P O Box 203","O",null,"HAMILTON","VIC","3300","Southern Grampians (S)","42 Gray Street",38,null,"295","VIC","Hamilton","Government","03 5571 9295","1",-37.744914,142.021384
"Primary","262","3523","Heathcote Primary School","P O Box 631","O",null,"HEATHCOTE","VIC","3523","Greater Bendigo (C)","31 Herriot Street",39,null,"300","VIC","Heathcote","Government","03 5433 3090","1",-36.924012,144.706851
